Screenshot,image,Film,Scene #,Timestamp,Seconds,,,,
HARD-00022,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00022/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.00025463,22,,,,
HARD-00128,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00128/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.001018519,88,,,,
HARD-00130,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00130/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.001041667,90,,,,
HARD-00144,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00144/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.001203704,104,,,,
HARD-00215,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00213/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.0015625,135,,,,
HARD-00230,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00230/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.001736111,150,,,,
HARD-00245,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00245/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.001909722,165,,,,
HARD-00254,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00254/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.002013889,174,,,,
HARD-00545,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00545/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.003993056,345,,,,
HARD-00555,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00555/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.004108796,355,,,,
HARD-00605,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00605/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.004224537,365,,,,
HARD-00636,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00636/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.004583333,396,,,,
HARD-00642,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00642/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.004652778,402,,,,
HARD-00657,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00657/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.004826389,417,,,,
HARD-00702,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00702/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.004884259,422,,,,
HARD-00721,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00721/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.005104167,441,,,,
HARD-00724,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00724/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.005138889,444,,,,
HARD-00800,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00800/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.005555556,480,,,,
HARD-00815,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00815/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.005729167,495,,,,
HARD-00824,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00824/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.005833333,504,,,,
HARD-00828,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00828/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.00587963,508,,,,
HARD-00834,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00834/tiles/full/300,169/0/default.jpg",Hard Eight (1996),1,0.005949074,514,,,,
HARD-00904,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00904/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.006296296,544,,,,
HARD-00946,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-00946/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.006782407,586,,,,
HARD-01000,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01000/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.006944444,600,,,,
HARD-01037,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01037/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.007372685,637,,,,
HARD-01148,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01148/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.008194444,708,,,,
HARD-01157,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01157/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.008298611,717,,,,
HARD-01204,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01204/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.00837963,724,,,,
HARD-01209,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01209/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.0084375,729,,,,
HARD-01214,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01214/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.00849537,734,,,,
HARD-01218,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01218/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.008541667,738,,,,
HARD-01221,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01221/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.008576389,741,,,,
HARD-01246,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01246/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.008865741,766,,,,
HARD-01255,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01255/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.008969907,775,,,,
HARD-01318,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01318/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.009236111,798,,,,
HARD-01320,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01320/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.009259259,800,,,,
HARD-01325,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01325/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.00931713,805,,,,
HARD-01328,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01328/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.009351852,808,,,,
HARD-01335,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01335/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.00943287,815,,,,
HARD-01345,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01345/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.009548611,825,,,,
HARD-01347,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01347/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.009571759,827,,,,
HARD-01354,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01354/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.009652778,834,,,,
HARD-01415,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01415/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.009895833,855,,,,
HARD-01419,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01419/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.00994213,859,,,,
HARD-01428,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01428/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.010046296,868,,,,
HARD-01431,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01431/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.010081019,871,,,,
HARD-01441,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01441/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.010196759,881,,,,
HARD-01446,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01446/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.01025463,886,,,,
HARD-01454,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01454/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.010347222,894,,,,
HARD-01522,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01522/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.010671296,922,,,,
HARD-01523,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01523/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.01068287,923,,,,
HARD-01535,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01535/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.010821759,935,,,,
HARD-01544,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01544/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.010925926,944,,,,
HARD-01552,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01552/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011018519,952,,,,
HARD-01616,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01616/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011296296,976,,,,
HARD-01618,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01618/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011319444,978,,,,
HARD-01620,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01620/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011342593,980,,,,
HARD-01638,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01638/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011550926,998,,,,
HARD-01645,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01645/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011631944,1005,,,,
HARD-01705,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01705/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011863426,1025,,,,
HARD-01706,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01706/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011875,1026,,,,
HARD-01709,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01709/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011909722,1029,,,,
HARD-01717,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01717/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012002315,1037,,,,
HARD-01723,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01723/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012071759,1043,,,,
HARD-01740,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01740/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012268519,1060,,,,
HARD-01758,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01758/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012476852,1078,,,,
HARD-01814,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01814/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012662037,1094,,,,
HARD-01824,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01824/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012777778,1104,,,,
HARD-01902,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01902/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.013217593,1142,,,,
HARD-01915,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01915/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.013368056,1155,,,,
HARD-02008,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02008/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.013981481,1208,,,,
HARD-02014,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02014/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014050926,1214,,,,
HARD-02052,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02052/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014490741,1252,,,,
HARD-02104,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02104/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.01462963,1264,,,,
HARD-02106,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02106/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014652778,1266,,,,
HARD-02127,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02127/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014895833,1287,,,,
HARD-02133,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02133/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.014965278,1293,,,,
HARD-02137,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02137/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015011574,1297,,,,
HARD-02150,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02150/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015162037,1310,,,,
HARD-02214,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02214/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015439815,1334,,,,
HARD-02220,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02220/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015509259,1340,,,,
HARD-02223,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02223/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015543981,1343,,,,
HARD-02235,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02235/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.01568287,1355,,,,
